id,genres,popularity,budget,original_language,revenue,runtime,original_title,rating
5,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",9.026586,4000000.0,en,4300000.0,98.0,Four Rooms,3.079564818455892
11,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",42.149697,11000000.0,en,775398007.0,121.0,Star Wars,3.6605905006418484
12,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",25.497794,94000000.0,en,940335536.0,100.0,Finding Nemo,2.6721787709497207
13,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",48.307194,55000000.0,en,677945399.0,142.0,Forrest Gump,3.326441784548422
14,"[{'id': 18, 'name': 'Drama'}]",20.726578,15000000.0,en,356296601.0,122.0,American Beauty,3.4308065226972233
15,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",15.811921,839727.0,en,23217674.0,119.0,Citizen Kane,2.72704
16,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 10402, 'name': 'Music'}]",10.684806,12800000.0,en,40031879.0,140.0,Dancer in the Dark,3.7955110396256764
18,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",24.30526,90000000.0,en,263920180.0,126.0,The Fifth Element,3.409031198686371
19,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",14.487867,92620000.0,de,650422.0,153.0,Metropolis,2.633983148851809
22,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",47.326665,140000000.0,en,655011224.0,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,3.3006076546345002
24,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",25.261865,30000000.0,en,180949000.0,111.0,Kill Bill: Vol. 1,3.1803745482422516
25,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",9.997032,72000000.0,en,96889998.0,125.0,Jarhead,3.6675128965433204
